word,frequency_in_target,frequency_in_reference,in_reference,lexical_confidence
vlittich,40,0,False,0.0000
alijt,39,0,False,0.0000
huijse,39,2,True,0.0916
ihesus,39,471,True,0.5136
mochten,39,580,True,0.5309
stiel,39,0,False,0.0000
tijden,39,111,True,0.3936
tranen,39,286,True,0.4721
mennige,38,20,True,0.2540
wanderinge,38,11,True,0.2073
ens,37,8,True,0.1833
hart,37,143,True,0.4145
licham,37,128,True,0.4054
verdragen,37,57,True,0.3387
armen,36,634,True,0.5383
dancbaer,36,7,True,0.1735
dochter,36,742,True,0.5514
gebet,36,123,True,0.4021
iet,36,148,True,0.4174
nemen,36,1182,True,0.5902
sijmpel,36,0,False,0.0000
sijt,36,1161,True,0.5887
syn,36,610,True,0.5351
anders,35,1230,True,0.5935
dages,35,178,True,0.4327
deden,35,473,True,0.5139
dienst,35,343,True,0.4872
halp,35,54,True,0.3343
laten,35,1478,True,0.6088
schrieuen,35,0,False,0.0000
sunderlinghe,35,85,True,0.3716
toemael,35,1,True,0.0578
eenre,34,833,True,0.5611
enich,34,388,True,0.4974
geistes,34,0,False,0.0000
heiten,34,93,True,0.3790
leefden,34,65,True,0.3495
trouwelick,34,0,False,0.0000
ziele,34,789,True,0.5565
bicht,33,14,True,0.2259
gewonte,33,0,False,0.0000
heilighe,33,563,True,0.5284
totten,33,1113,True,0.5852
woert,33,220,True,0.4503
bede,32,204,True,0.4440
bleef,32,524,True,0.5225
bloet,32,984,True,0.5749
capittel,32,1110,True,0.5850
cleijn,32,7,True,0.1735
handen,32,857,True,0.5634
hert,32,244,True,0.4589
insettinge,32,3,True,0.1156
rechten,32,282,True,0.4709
steede,32,0,False,0.0000
twee,32,1215,True,0.5925
wolden,32,40,True,0.3098
antwoerden,31,90,True,0.3763
best,31,376,True,0.4948
eten,31,920,True,0.5693
gewest,31,8,True,0.1833
habiet,31,0,False,0.0000
oetmoedige,31,10,True,0.2000
vroe,31,82,True,0.3686
arbeide,30,129,True,0.4060
begeerlick,30,0,False,0.0000
dienste,30,244,True,0.4589
eerden,30,304,True,0.4772
exempel,30,322,True,0.4819
gheweest,30,618,True,0.5362
huijses,30,0,False,0.0000
kocken,30,0,False,0.0000
liefde,30,162,True,0.4249
nacht,30,680,True,0.5442
pijnden,30,16,True,0.2363
sagen,30,307,True,0.4780
schicten,30,1,True,0.0578
sullen,30,1724,True,0.6217
wech,30,1224,True,0.5931
wi,30,7428,True,0.7435
wttermaten,30,0,False,0.0000
dienden,29,80,True,0.3666
dinghen,29,1456,True,0.6076
gads,29,112,True,0.3943
gehoersamheit,29,15,True,0.2313
geistelicke,29,0,False,0.0000
guederhande,29,1,True,0.0578
hent,29,72,True,0.3579
herte,29,1387,True,0.6035
ijde,29,2,True,0.0916
ionge,29,70,True,0.3556
maget,29,165,True,0.4264
mechtelt,29,0,False,0.0000
neder,29,914,True,0.5688
nummer,29,22,True,0.2615
stat,29,1383,True,0.6033
wercken,29,628,True,0.5375
wijle,29,43,True,0.3157
behoet,28,55,True,0.3358
goddienstichge,28,0,False,0.0000
heijmelick,28,0,False,0.0000
mergens,28,7,True,0.1735
myn,28,399,True,0.4998
personen,28,154,True,0.4207
toch,28,14,True,0.2259
verstande,28,37,True,0.3034
verstant,28,154,True,0.4207
vuerich,28,22,True,0.2615
willen,28,1641,True,0.6176
ansicht,27,10,True,0.2000
arbeiden,27,95,True,0.3807
armoede,27,192,True,0.4390
armoeden,27,61,True,0.3443
auents,27,1,True,0.0578
conuent,27,6,True,0.1623
eijnde,27,11,True,0.2073
gebreck,27,9,True,0.1921
geist,27,1,True,0.0578
genen,27,361,True,0.4914
hallen,27,0,False,0.0000
hant,27,1353,True,0.6015
iaeren,27,2,True,0.0916
quellick,27,0,False,0.0000
spaerden,27,3,True,0.1156
stichtelick,27,0,False,0.0000
wanderinghe,27,18,True,0.2456
wort,27,2119,True,0.6389
zielen,27,872,True,0.5649
bereiden,26,90,True,0.3763
embrick,26,0,False,0.0000
gestoruen,26,6,True,0.1623
hemel,26,999,True,0.5762
leuens,26,142,True,0.4140
nerstelick,26,0,False,0.0000
oetmoediger,26,3,True,0.1156
peter,26,161,True,0.4244
rusten,26,403,True,0.5006
scherp,26,2,True,0.0916
scherpelick,26,0,False,0.0000
troest,26,185,True,0.4359
voeren,26,333,True,0.4847
behulpelick,25,0,False,0.0000
bewes,25,0,False,0.0000
drie,25,1200,True,0.5915
droch,25,10,True,0.2000
duchte,25,43,True,0.3157
gebreken,25,67,True,0.3520
gelicken,25,1,True,0.0578
noet,25,344,True,0.4874
oelders,25,0,False,0.0000
sterck,25,63,True,0.3469
straffen,25,15,True,0.2313
auermids,24,0,False,0.0000
begijn,24,0,False,0.0000
behoefden,24,13,True,0.2201
biecht,24,83,True,0.3696
christus,24,531,True,0.5236
gedient,24,60,True,0.3429
gedoen,24,34,True,0.2966
heel,24,140,True,0.4128
hertelick,24,1,True,0.0578
hulp,24,79,True,0.3655
ionck,24,31,True,0.2891
rechter,24,644,True,0.5396
seiden,24,764,True,0.5539
sunden,24,685,True,0.5448
trecken,24,610,True,0.5351
troesten,24,57,True,0.3387
vermochte,24,17,True,0.2411
wacker,24,17,True,0.2411
were,24,65,True,0.3495
werlicke,24,2,True,0.0916
belien,23,85,True,0.3716
besten,23,112,True,0.3943
bracht,23,148,True,0.4174
gade,23,244,True,0.4589
hoeft,23,391,True,0.4981
ierste,23,283,True,0.4712
lijsbet,23,0,False,0.0000
medelijdelick,23,0,False,0.0000
noetdroefte,23,0,False,0.0000
ondersaten,23,48,True,0.3246
selues,23,82,True,0.3686
sick,23,14,True,0.2259
suere,23,4,True,0.1342
vuericheit,23,10,True,0.2000
vuerichlick,23,0,False,0.0000
waert,23,1350,True,0.6013
weerdich,23,126,True,0.4041
aender,22,22,True,0.2615
alden,22,109,True,0.3921
ampt,22,3,True,0.1156
comt,22,1605,True,0.6157
dagen,22,401,True,0.5002
dochtelic,22,0,False,0.0000
doet,22,3856,True,0.6888
es,22,15760,True,0.8062
gehalden,22,6,True,0.1623
geistelick,22,0,False,0.0000
geistelicken,22,0,False,0.0000
geleden,22,93,True,0.3790
gen,22,14,True,0.2259
gesat,22,18,True,0.2456
gewonten,22,0,False,0.0000
ghegeuen,22,36,True,0.3012
gijngen,22,0,False,0.0000
gront,22,228,True,0.4532
henrick,22,2,True,0.0916
knijen,22,2,True,0.0916
macht,22,965,True,0.5733
mijssen,22,0,False,0.0000
reuenter,22,0,False,0.0000
saet,22,161,True,0.4244
straften,22,0,False,0.0000
vlittelick,22,0,False,0.0000
w,22,18,True,0.2456
woerde,22,294,True,0.4744
alten,21,23,True,0.2651
behagen,21,44,True,0.3175
gegaen,21,211,True,0.4468
genamen,21,0,False,0.0000
gerack,21,0,False,0.0000
heeft,21,5742,True,0.7220
hen,21,1426,True,0.6059
plagen,21,100,True,0.3850
raden,21,145,True,0.4157
samen,21,484,True,0.5158
scheiden,21,56,True,0.3372
schoen,21,122,True,0.4014
sieck,21,67,True,0.3520
trouwe,21,237,True,0.4565
verlangen,21,52,True,0.3312
welck,21,80,True,0.3666
wonden,21,980,True,0.5746
bichten,20,14,True,0.2259
gehoersam,20,28,True,0.2809
getijde,20,3,True,0.1156
ghedaen,20,1042,True,0.5797
hande,20,358,True,0.4907
her,20,119,True,0.3993
jut,20,0,False,0.0000
langer,20,134,True,0.4092
leuendich,20,36,True,0.3012
macten,20,8,True,0.1833
mitten,20,1062,True,0.5813
moste,20,86,True,0.3725
noede,20,54,True,0.3343
omtrient,20,0,False,0.0000
sueticheit,20,128,True,0.4054
vrede,20,620,True,0.5365
wal,20,68,True,0.3532
wanderden,20,6,True,0.1623
worde,20,444,True,0.5087
auermits,19,0,False,0.0000
beden,19,145,True,0.4157
bedienstelick,19,0,False,0.0000
datmen,19,1348,True,0.6012
dragen,19,339,True,0.4862
enighe,19,222,True,0.4510
gauen,19,181,True,0.4341
gelaten,19,131,True,0.4073
gelick,19,5,True,0.1495
gemeyn,19,29,True,0.2837
geschieden,19,7,True,0.1735
geschiet,19,135,True,0.4098
gheviel,19,23,True,0.2651
gijnc,19,1,True,0.0578
ick,19,3188,True,0.6729
mijsse,19,0,False,0.0000
ondertijden,19,3,True,0.1156
ondochden,19,0,False,0.0000
riet,19,58,True,0.3401
sicheit,19,2,True,0.0916
sicken,19,7,True,0.1735
voelden,19,2,True,0.0916
aenderen,18,1,True,0.0578
altemael,18,59,True,0.3415
begeerte,18,66,True,0.3507
begeerten,18,120,True,0.4000
brachten,18,56,True,0.3372
crancheit,18,132,True,0.4079
er,18,177,True,0.4322
etten,18,0,False,0.0000
gelaet,18,39,True,0.3077
genoch,18,10,True,0.2000
gent,18,1,True,0.0578
gesien,18,256,True,0.4629
getagen,18,0,False,0.0000
gheen,18,1689,True,0.6200
late,18,73,True,0.3590
lauen,18,9,True,0.1921
lexsen,18,0,False,0.0000
malckanderen,18,4,True,0.1342
mans,18,243,True,0.4585
mennigen,18,16,True,0.2363
mennighe,18,15,True,0.2313
merken,18,411,True,0.5022
moet,18,2416,True,0.6498
o,18,2309,True,0.6460
rade,18,428,True,0.5056
sloch,18,4,True,0.1342
socht,18,39,True,0.3077
stercken,18,64,True,0.3482
swaeren,18,4,True,0.1342
vere,18,3,True,0.1156
vermanen,18,45,True,0.3194
wees,18,13,True,0.2201
achten,17,140,True,0.4128
at,17,129,True,0.4060
bernt,17,30,True,0.2864
bet,17,237,True,0.4565
cleder,17,171,True,0.4294
cranck,17,45,True,0.3194
crege,17,1,True,0.0578
crigen,17,77,True,0.3634
deuoecien,17,0,False,0.0000
euen,17,52,True,0.3312
gaet,17,1317,True,0.5992
hij,17,3095,True,0.6705
iersten,17,244,True,0.4589
luttel,17,907,True,0.5681
maeten,17,2,True,0.0916
maken,17,1808,True,0.6256
maten,17,311,True,0.4790
mijnden,17,5,True,0.1495
onderdanich,17,173,True,0.4303
schemelick,17,0,False,0.0000
sorge,17,63,True,0.3469
stercten,17,2,True,0.0916
verwaren,17,20,True,0.2540
weckelick,17,0,False,0.0000
werckhuijs,17,0,False,0.0000
werke,17,602,True,0.5340
begaen,16,55,True,0.3358
begerlick,16,0,False,0.0000
behulp,16,5,True,0.1495
berue,16,1,True,0.0578
beste,16,298,True,0.4755
christi,16,160,True,0.4239
eerweerdige,16,10,True,0.2000
eniger,16,9,True,0.1921
geseelscap,16,1,True,0.0578
gesticht,16,18,True,0.2456
guetelic,16,1,True,0.0578
hebt,16,1424,True,0.6057
io,16,4,True,0.1342
licht,16,769,True,0.5544
loen,16,382,True,0.4961
mont,16,650,True,0.5404
ontsien,16,261,True,0.4645
siecken,16,70,True,0.3556
staet,16,1491,True,0.6096
tafelen,16,276,True,0.4691
totter,16,530,True,0.5234
weet,16,1080,True,0.5827
aet,15,14,True,0.2259
armelick,15,0,False,0.0000
auent,15,2,True,0.0916
barmherticheit,15,162,True,0.4249
beel,15,0,False,0.0000
begerten,15,23,True,0.2651
besorgen,15,11,True,0.2073
beualen,15,3,True,0.1156
beuel,15,1,True,0.0578
deuenter,15,1,True,0.0578
doode,15,77,True,0.3634
gehoert,15,119,True,0.3993
guetelicke,15,0,False,0.0000
ijet,15,3,True,0.1156
ist,15,1207,True,0.5920
lijdsamlick,15,0,False,0.0000
maecten,15,186,True,0.4363
nachtes,15,42,True,0.3137
naem,15,472,True,0.5138
nergent,15,20,True,0.2540
nerstich,15,0,False,0.0000
oc,15,11,True,0.2073
oelderen,15,0,False,0.0000
oerber,15,1,True,0.0578
ongenocht,15,0,False,0.0000
quaet,15,1270,True,0.5962
schicken,15,4,True,0.1342
sedden,15,1,True,0.0578
sieckelick,15,0,False,0.0000
sijns,15,1469,True,0.6083
slapen,15,280,True,0.4703
sult,15,1181,True,0.5901
suuerlick,15,0,False,0.0000
tijdes,15,6,True,0.1623
volcomen,15,204,True,0.4440
vrie,15,117,True,0.3979
waerheit,15,889,True,0.5665
altijt,14,227,True,0.4529
aten,14,138,True,0.4116
bate,14,61,True,0.3443
corrigieren,14,5,True,0.1495
daghe,14,705,True,0.5472
deuoetelick,14,0,False,0.0000
dochde,14,0,False,0.0000
druck,14,79,True,0.3655
dwanck,14,13,True,0.2201
dynck,14,0,False,0.0000
dyngen,14,0,False,0.0000
eersam,14,13,True,0.2201
eerweerdich,14,1,True,0.0578
gelegen,14,63,True,0.3469
gese,14,0,False,0.0000
geuoelen,14,2,True,0.0916
gewont,14,137,True,0.4110
guettelick,14,0,False,0.0000
hielden,14,115,True,0.3965
ihesum,14,160,True,0.4239
kerke,14,231,True,0.4543
last,14,200,True,0.4424
laue,14,4,True,0.1342
liefden,14,214,True,0.4480
mijnste,14,3,True,0.1156
mitter,14,399,True,0.4998
oerloef,14,3,True,0.1156
ontsach,14,79,True,0.3655
oprecht,14,6,True,0.1623
reijn,14,5,True,0.1495
schemelre,14,1,True,0.0578
seguwit,14,0,False,0.0000
vasten,14,256,True,0.4629
verdriet,14,219,True,0.4499
verkallen,14,1,True,0.0578
verweruen,14,15,True,0.2313
vrouwen,14,882,True,0.5658
weerdigen,14,2,True,0.0916
werlicken,14,0,False,0.0000
wijs,14,676,True,0.5437
willem,14,17,True,0.2411
aendacht,13,7,True,0.1735
an,13,2882,True,0.6645
beesten,13,605,True,0.5344
behalp,13,2,True,0.0916
brengen,13,262,True,0.4648
cleue,13,0,False,0.0000
conciencie,13,2,True,0.0916
dacht,13,40,True,0.3098
dancbaerheit,13,19,True,0.2499
dencken,13,189,True,0.4377
dochte,13,222,True,0.4510
geschreuen,13,2,True,0.0916
gewoent,13,21,True,0.2578
ghecomen,13,404,True,0.5008
heijmelicke,13,0,False,0.0000
heilich,13,249,True,0.4606
heit,13,200,True,0.4424
hutten,13,1,True,0.0578
jonfer,13,1,True,0.0578
kallen,13,4,True,0.1342
kynder,13,10,True,0.2000
lijdsamheit,13,5,True,0.1495
mael,13,122,True,0.4014
mage,13,145,True,0.4157
ment,13,238,True,0.4568
mercken,13,177,True,0.4322
na,13,5883,True,0.7240
oetmoedigen,13,6,True,0.1623
punten,13,87,True,0.3735
reverencelick,13,0,False,0.0000
siet,13,1586,True,0.6147
stantachtich,13,4,True,0.1342
stijn,13,0,False,0.0000
toenden,13,9,True,0.1921
vaders,13,654,True,0.5409
vier,13,1001,True,0.5764
voeden,13,123,True,0.4021
wast,13,458,True,0.5112
wilt,13,1850,True,0.6276
wiltijdes,13,0,False,0.0000
wrachte,13,28,True,0.2809
wtter,13,1,True,0.0578
xvii,13,21,True,0.2578
ynnichlick,13,0,False,0.0000
altoemael,12,0,False,0.0000
bedde,12,346,True,0.4879
bederf,12,2,True,0.0916
besorget,12,6,True,0.1623
blijde,12,182,True,0.4345
broet,12,328,True,0.4835
dagelixs,12,1,True,0.0578
deuoete,12,0,False,0.0000
eerbaren,12,13,True,0.2201
ellendigen,12,1,True,0.0578
ergent,12,6,True,0.1623
gaens,12,13,True,0.2201
gebedeken,12,0,False,0.0000
geenre,12,73,True,0.3590
geleeden,12,0,False,0.0000
gemeijnten,12,0,False,0.0000
gendt,12,0,False,0.0000
genochgelick,12,0,False,0.0000
genochten,12,0,False,0.0000
geoerdeniert,12,0,False,0.0000
gescheiden,12,25,True,0.2718
gewandert,12,10,True,0.2000
geworden,12,82,True,0.3686
goddiensticheit,12,14,True,0.2259
godtelicke,12,0,False,0.0000
heilwich,12,0,False,0.0000
hoe,12,4400,True,0.6998
kalden,12,0,False,0.0000
kallinge,12,0,False,0.0000
kennen,12,363,True,0.4919
kijnderen,12,21,True,0.2578
laeten,12,12,True,0.2140
lanc,12,589,True,0.5322
leer,12,158,True,0.4228
leide,12,195,True,0.4403
leiden,12,203,True,0.4436
moede,12,344,True,0.4874
oerberlick,12,0,False,0.0000
oeren,12,81,True,0.3676
omtrijnt,12,0,False,0.0000
onderdanicheit,12,53,True,0.3327
ouerste,12,147,True,0.4168
predicken,12,18,True,0.2456
prumers,12,0,False,0.0000
raet,12,962,True,0.5731
setten,12,619,True,0.5363
sie,12,976,True,0.5743
sliep,12,84,True,0.3706
soen,12,987,True,0.5752
solt,12,20,True,0.2540
spynnen,12,1,True,0.0578
staen,12,1125,True,0.5861
suet,12,63,True,0.3469
swijgen,12,18,True,0.2456
trach,12,2,True,0.0916
vat,12,192,True,0.4390
verblijden,12,64,True,0.3482
vermoegen,12,1,True,0.0578
verwerf,12,14,True,0.2259
